granule_id,mgrs_tile,date,source_granule_id,cloud_cover,spatial_cover,LaSRC_version,mean_view_zenith_angle,mean_view_azimuth_angle,mean_sun_zenith_angle,mean_sun_azimuth_angle,,,,,,,,,,,,,,,
HLS.L30.T13REN.2022040T172750.v2.0,13REN,2022-02-09,LC08_L1TP_031039_20220209_20220209_02_RT,0,100,LaSRCv3.0.5,2.73470797,161.9454093,50.5010111,146.7030978,,,,,,,,,,,,,,,
HLS.L30.T13REN.2022120T172730.v2.0,13REN,2022-04-30,LC08_L1TP_031039_20220430_20220501_02_RT,0,100,LaSRCv3.0.5,2.73274764,162.0522688,24.72265108,120.9435568,,,,,,,,,,,,,,,
HLS.L30.T13REN.2022160T172715.v2.0,13REN,2022-06-09,LC09_L1TP_031039_20220609_20220610_02_T1,3,100,LaSRCv3.0.5,2.76084419,161.4886374,21.03541057,102.3606002,,,,,,,,,,,,,,,
HLS.L30.T13REN.2022200T172800.v2.0,13REN,2022-07-19,LC08_L1TP_031039_20220719_20220719_02_RT,0,100,LaSRCv3.0.5,2.7420967,161.4127462,23.28069803,106.1275452,,,,,,,,,,,,,,,
HLS.L30.T13REN.2022320T172812.v2.0,13REN,2022-11-16,LC09_L1TP_031039_20221116_20221116_02_T1,0,100,LaSRCv3.0.5,3,164,51,157,,,,,,,,,,,,,,,
HLS.L30.T13REN.2022360T172807.v2.0,13REN,2022-12-26,LC08_L1TP_031039_20221226_20221226_02_RT,0,100,LaSRCv3.0.5,2.7367749,161.7689058,56.94996497,155.2277656,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2021030T172029.v2.0,13SGT,2021-01-30,LC08_L1TP_030036_20210130_20210302_02_T1,0,76,LaSRCv3.0.5,4.70046482,106.9014582,56.62400416,150.8254177,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2021085T172619.v2.0,13SGT,2021-03-26,LC08_L1TP_031036_20210326_20210402_02_T1,0,66,LaSRCv3.0.5,5.18760095,279.7551569,37.58656689,141.7633188,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2021165T172621.v2.0,13SGT,2021-06-14,LC08_L1TP_031036_20210614_20210622_02_T1,0,65,LaSRCv3.0.5,5.23805868,279.8099275,21.11779137,114.504293,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2021190T172015.v2.0,13SGT,2021-07-09,LC08_L1TP_030036_20210709_20210720_02_T1,0,76,LaSRCv3.0.5,4.70315809,106.9422702,23.49970296,113.3151865,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2021350T172041.v2.0,13SGT,2021-12-16,LC08_L1TP_030036_20211216_20211216_02_RT,10,77,LaSRCv3.0.5,4.65979415,106.7746815,60.47519174,157.9617616,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2022025T172037.v2.0,13SGT,2022-01-25,LC09_L1TP_030036_20220125_20220125_02_T1,1,78,LaSRCv3.0.5,4.64958214,105.7301399,57.7725138,151.8011699,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2022040T172638.v2.0,13SGT,2022-02-09,LC08_L1TP_031036_20220209_20220209_02_RT,0,66,LaSRCv3.0.5,5,280,54,150,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2022105T172011.v2.0,13SGT,2022-04-15,LC09_L1TP_030036_20220415_20220415_02_T1,0,79,LaSRCv3.0.5,5,106,31,135,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2022120T172618.v2.0,13SGT,2022-04-30,LC08_L1TP_031036_20220430_20220501_02_RT,0,66,LaSRCv3.0.5,5.17097732,279.789084,26.23791133,131.2429786,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2022240T172646.v2.0,13SGT,2022-08-28,LC09_L1TP_031036_20220828_20220828_02_T1,0,66,LaSRCv3.0.5,5.19155281,280.3273601,31.03330256,136.7063594,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2022265T172041.v2.0,13SGT,2022-09-22,LC09_L1TP_030036_20220922_20220922_02_T1,0,78,LaSRCv3.0.5,4.67695513,105.7697954,38.56124183,146.6462491,,,,,,,,,,,,,,,
HLS.L30.T13SGT.2022305T172059.v2.0,13SGT,2022-11-01,LC08_L1TP_030036_20221101_20221101_02_RT,7,79,LaSRCv3.0.5,4.55627803,106.7006418,51.23294767,157.8173202,,,,,,,,,,,,,,,
HLS.L30.T13TDL.2021161T174752.v2.0,13TDL,2021-06-10,LC08_L1TP_035028_20210610_20210621_02_T1,0,100,LaSRCv3.0.5,2.56085928,184.3231929,27.0315922,140.1215167,,,,,,,,,,,,,,,
HLS.L30.T13TDL.2021241T174816.v2.0,13TDL,2021-08-29,LC08_L1TP_035028_20210829_20210909_02_T1,0,100,LaSRCv3.0.5,2.56732157,181.4467866,39.84448197,150.4392155,,,,,,,,,,,,,,,
HLS.L30.T13TDL.2022204T174801.v2.0,13TDL,2022-07-23,LC09_L1TP_035028_20220723_20220723_02_T1,1,100,LaSRCv3.0.5,2.56342366,183.4933637,30.51451573,140.3288609,,,,,,,,,,,,,,,
HLS.L30.T13TDL.2022316T174832.v2.0,13TDL,2022-11-12,LC09_L1TP_035028_20221112_20221112_02_T1,2,99,LaSRCv3.0.5,2.56114827,185.628393,64.72754937,164.7732201,,,,,,,,,,,,,,,
HLS.L30.T13TDL.2022324T174835.v2.0,13TDL,2022-11-20,LC08_L1TP_035028_20221120_20221120_02_RT,1,97,LaSRCv3.0.5,2.55730072,184.8031233,66.72747325,164.8323767,,,,,,,,,,,,,,,
